IdCursosSocios,IdCurso,idSocio,Activo,Termino
289,154,3710,True,True
290,154,3680,True,True
291,154,3399,True,True
292,154,3277,True,True
293,154,3855,True,True
294,154,4001,True,True
295,154,4026,True,True
296,154,4049,True,True
297,154,3518,True,True
298,154,3590,True,True
299,154,3576,True,True
300,154,3939,True,True
301,154,3742,True,False
302,154,4013,True,True
303,154,3984,True,True
304,154,3987,True,True
305,156,2977,True,True
306,156,4055,True,True
307,156,3351,True,True
308,156,3587,True,True
309,156,3680,True,True
310,158,2619,True,False
311,158,3747,True,False
312,158,2633,True,False
313,158,3751,True,False
314,158,3906,True,False
315,158,3940,True,False
316,158,2968,True,False
317,158,3302,True,False
318,159,3935,True,False
319,159,3529,True,False
320,159,4006,True,False
321,159,3280,True,False
322,159,3748,True,False
323,159,3946,True,False
324,159,2550,True,False
325,159,2575,True,False
326,159,3155,True,False
327,159,4012,True,False
328,159,3562,True,False
329,159,3962,True,False
330,159,3185,True,False
331,159,4073,False,False
332,159,4075,True,False
333,159,4067,True,False
334,159,4072,False,False
335,159,4074,True,False
336,159,3447,True,False
337,159,4076,True,False
338,159,4071,True,False
339,159,4069,True,False
340,159,4070,True,False
341,159,4068,True,False
342,160,3680,True,False
343,160,3573,True,False
344,160,3280,True,False
345,160,3747,True,False
346,160,3940,True,False
347,160,3933,True,False
348,160,3587,True,False
349,160,3734,True,False
350,160,4002,True,False
351,160,4058,True,False
352,160,3518,True,False
353,160,4077,True,False
354,160,2977,True,False
355,156,4061,True,False
356,156,3618,True,True
357,156,4052,True,True
358,156,3939,True,True
359,156,3742,False,False
360,156,3897,True,True
361,156,3590,True,True
362,156,3984,True,True
363,156,3982,True,True
364,156,4089,True,False
365,158,4090,True,False
366,158,4081,True,False
367,158,4085,True,False
368,158,4079,True,False
369,158,4080,True,False
370,158,4091,True,False
371,158,4084,True,False
372,159,3708,True,False
373,161,4207,True,True
374,161,4206,True,True
375,161,4208,False,False
376,161,4204,True,True
377,161,4210,True,True
378,161,4115,True,True
379,161,4202,True,True
380,161,4211,True,True
381,161,4205,True,True
382,161,4215,True,True
383,161,4216,True,True
384,161,4213,True,True
385,161,4212,True,True
386,161,4214,False,True
387,161,3747,True,True
388,162,3019,True,False
389,162,4123,True,False
390,162,3351,True,False
391,162,4073,True,False
392,162,4217,True,False
393,162,4068,True,False
394,162,3667,True,False
395,162,4226,True,False
396,162,4221,True,False
397,162,4223,True,False
398,162,4228,True,False
399,162,4070,True,False
400,162,4138,True,False
401,162,4227,True,False
402,163,4231,True,True
403,163,4230,True,True
404,163,4234,True,True
405,163,3477,True,True
406,163,3155,True,True
407,163,3073,True,True
408,163,4232,True,False
409,163,3686,True,True
410,163,4233,True,True
411,163,4166,True,True
412,163,4218,False,True
413,164,3534,True,False
414,164,3851,True,True
415,164,3587,True,True
416,164,4186,True,True
417,164,4200,True,True
418,164,3852,True,True
419,164,3742,True,False
420,164,4248,True,True
421,164,3351,True,True
422,164,3680,True,True
423,164,4121,True,True
424,164,4105,True,True
425,164,4150,True,True
426,164,4245,True,True
427,164,4252,True,True
428,163,3821,True,True
429,163,4247,True,True
430,163,3906,True,True
431,161,4236,True,True
432,161,3118,True,False
433,161,3299,True,True
434,161,4235,True,True
435,163,4238,True,False
436,165,3351,True,True
437,165,4221,True,True
438,165,3940,True,True
439,165,4222,True,True
440,165,4006,True,True
441,165,3118,True,False
442,165,4220,True,True
443,165,4217,True,True
444,165,4226,True,True
445,165,4123,True,True
446,165,4012,True,True
447,165,4005,True,True
448,165,4218,True,True
449,165,3286,True,True
450,165,3529,True,True
451,165,3667,True,True
452,165,4138,True,True
453,165,3019,True,True
454,165,3751,True,True
455,165,2846,True,True
456,165,4007,True,True
457,165,3752,True,True
458,161,3534,True,False
459,166,3299,True,False
460,166,4327,True,False
461,166,4207,True,False
462,166,4236,True,False
463,166,2950,True,False
464,166,3733,True,False
465,166,4206,True,False
466,166,4204,True,False
467,166,4205,True,False
468,166,3529,True,False
469,166,4325,True,False
470,166,3935,True,False
471,167,2846,True,True
472,167,4236,True,True
473,167,4206,True,True
474,167,4202,True,True
475,167,4210,True,True
476,167,4216,True,True
477,167,3920,True,True
478,167,4205,True,True
479,167,4212,True,True
480,167,4115,True,True
481,167,3576,True,True
482,167,4306,True,True
483,167,4211,True,True
484,167,2633,True,True
485,167,2619,True,True
486,167,3921,True,True
487,166,4326,True,False
488,166,4115,True,False
489,166,4166,True,False
490,168,4331,True,False
491,168,4334,True,False
492,168,4333,True,False
493,168,4332,True,False
494,168,4335,True,False
495,168,4329,True,False
496,168,4330,True,False
497,168,4233,True,False
498,168,2597,False,False
499,168,4218,True,False
500,168,3155,True,False
501,168,4222,True,False
502,168,3909,True,False
503,168,3836,True,False
504,168,3497,True,False
505,168,4174,True,False
506,168,4297,True,False
507,169,2619,True,True
508,169,2633,True,True
509,169,4081,True,True
510,169,4079,True,True
511,169,3011,True,False
512,169,3425,True,True
513,169,3733,True,True
514,169,2951,True,True
515,169,3873,True,False
516,169,3520,True,True
517,169,4340,True,True
518,169,4281,True,False
519,168,4356,True,False
520,168,4352,True,False
521,168,4349,True,False
522,167,3935,True,True
523,167,4338,True,True
524,167,4337,True,True
525,167,4204,True,True
526,168,3686,True,False
527,170,4166,True,False
528,170,4373,True,False
529,170,4360,True,False
530,170,4361,True,False
531,170,4359,True,False
532,170,4363,True,False
533,170,4365,True,False
534,170,4368,True,False
535,170,4362,True,False
536,170,4332,True,False
537,170,4364,True,False
538,170,4215,True,False
539,170,4238,True,False
540,170,3819,True,False
541,171,2950,True,False
542,171,3118,True,False
543,171,4421,True,False
544,171,2716,True,False
545,171,4068,True,False
546,171,3083,True,False
547,171,3082,True,False
548,171,4366,True,False
549,171,4426,True,False
550,171,4425,True,False
551,171,4428,True,False
552,171,3520,True,False
553,171,3435,True,False
554,171,4329,True,False
555,171,4325,True,False
556,171,4206,True,False
557,171,4422,True,False
558,171,4423,True,False
559,171,4424,True,False
560,171,4427,True,False
561,171,3280,True,False
562,172,4568,True,False
563,172,4600,True,False
564,172,4598,True,False
565,172,4587,True,False
566,172,4588,True,False
567,172,4592,True,False
568,172,4571,True,False
569,172,4589,True,False
570,172,4570,True,False
571,172,4590,True,False
572,172,3333,True,False
573,172,4597,True,False
574,172,4631,True,False
575,172,4593,True,False
576,172,4591,True,False
577,172,4595,True,False
578,172,3351,True,False
579,172,3935,True,False
580,173,4671,True,False
581,173,4672,True,False
582,173,4666,True,False
583,173,3591,True,False
584,173,4664,True,False
585,173,4665,True,False
586,173,4670,True,False
587,173,4657,True,False
588,173,4660,True,False
589,173,4673,True,False
590,173,4662,True,False
591,173,4148,True,False
592,173,4663,True,False
593,173,4674,True,False
594,173,4632,True,False
595,173,4664,True,False
596,173,4658,True,False
597,173,4659,True,False
598,173,4661,True,False
599,174,4656,True,False
600,174,3576,True,False
601,174,4651,True,False
602,174,4649,True,False
603,174,4653,True,False
604,174,4655,True,False
605,174,4210,True,False
606,174,4501,True,False
607,174,4366,True,False
608,174,4206,True,False
609,174,4632,True,False
610,174,4403,True,False
611,174,4207,True,False
612,174,4650,True,False
613,175,3546,True,False
614,175,3472,True,False
615,175,4793,True,False
616,175,4469,True,False
617,175,4470,True,False
618,175,4721,True,False
619,175,4644,True,False
620,175,3998,True,False
621,175,4764,True,False
622,175,4486,True,False
623,175,4536,True,False
624,175,4698,True,False
625,175,3514,True,False
626,175,4716,True,False
627,175,4414,True,False
628,175,4693,True,False
629,175,3658,True,False
630,175,4795,True,False
631,175,3938,True,False
632,175,4610,True,False
633,176,4856,False,False
634,176,4857,True,False
635,176,4870,True,False
636,176,4862,True,False
637,176,4869,True,False
638,176,4872,True,False
639,176,4861,True,False
640,176,4859,True,False
641,176,4863,True,False
642,176,4865,True,False
643,176,4874,True,False
644,176,4860,True,False
645,176,4866,True,False
646,176,4871,True,False
647,177,2716,True,False
648,177,4336,True,False
649,177,3656,True,False
650,177,3920,True,False
651,177,3118,True,False
652,177,4074,True,False
653,177,4075,True,False
654,177,4836,True,False
655,177,4838,True,False
656,177,4832,True,False
657,177,4338,True,False
658,177,4833,True,False
659,178,4848,True,False
660,178,4843,True,False
661,178,4075,True,False
662,178,4844,True,False
663,178,4590,True,False
664,178,4852,True,False
665,178,4845,True,False
666,178,4526,True,False
667,178,4854,True,False
668,178,4271,True,False
669,178,4849,True,False
670,178,4840,True,False
671,178,4842,True,False
672,178,4853,True,False
673,178,4597,True,False
674,178,4851,True,False
675,178,4600,True,False
676,178,4678,True,False
677,178,4846,True,False
678,178,4855,True,False
679,178,4841,True,False
680,176,4878,True,False
681,176,4867,True,False
682,176,4868,True,False
683,176,4876,True,False
684,176,4877,True,False
685,176,4527,True,False
686,176,3836,True,False
687,176,4858,True,False
688,176,4873,True,False
689,178,4885,True,False
690,178,4886,True,False
691,179,4423,True,False
692,179,3656,True,False
693,179,3946,True,False
694,179,4148,True,False
695,179,4900,True,False
696,179,4859,True,False
697,179,4899,True,False
698,179,4898,True,False
699,179,4897,True,False
700,180,4345,True,False
701,180,3349,True,False
702,180,3680,True,False
703,180,4338,True,False
704,180,4247,True,False
705,180,4536,True,False
706,180,4599,True,False
707,180,3961,True,False
708,180,3836,True,False
709,180,4336,True,False
710,180,2998,True,False
711,179,4697,True,False
712,179,4910,True,False
713,180,4908,True,False
714,180,4909,True,False
715,180,4907,True,False
716,178,4888,True,False
717,181,4424,True,False
718,181,4723,True,False
719,181,4366,True,False
720,181,4218,True,False
721,181,4919,True,False
722,181,4664,True,False
723,181,4338,True,False
724,181,4632,True,False
725,181,4899,True,False
726,181,3576,True,False
727,181,4336,True,False
728,181,4906,True,False
729,181,4920,True,False
730,181,4897,True,False
731,181,4922,True,False
732,182,4452,True,False
733,182,3734,True,False
734,182,4911,True,False
735,182,4165,True,False
736,182,4650,True,False
737,182,3577,True,False
738,182,4031,True,False
739,182,4698,True,False
740,176,3218,True,False
741,181,4905,True,False
742,183,4673,True,False
743,183,3514,True,False
744,183,4871,True,False
745,183,5009,True,False
746,183,4722,True,False
747,183,4833,True,False
748,183,5010,True,False
749,183,3906,True,False
750,183,5011,True,False
751,183,4336,True,False
752,183,5007,True,False
753,183,4526,True,False
754,183,4842,True,False
755,183,4900,True,False
756,183,4954,True,False
757,184,4961,True,False
758,184,4962,True,False
759,184,4632,True,False
