IdCompaniaCelular,Nombre,Usuario,FhUltModif
83,Animacion Interactiva,2011-05-01 00:00:00,2015-10-01 00:00:00
84,Robótica,2011-05-01 00:00:00,2015-10-01 00:00:00
85,FX,2011-06-01 00:00:00,2015-10-01 00:00:00
86,FX 2,2011-06-01 00:00:00,2015-10-01 00:00:00
87,Cuadros 3D,2011-07-01 00:00:00,2015-10-01 00:00:00
88,Marionetas con Tecnología,2011-07-01 00:00:00,2015-10-01 00:00:00
89,Hologramas,2011-07-01 00:00:00,2015-10-01 00:00:00
90,Pistas Musicales,2011-07-01 00:00:00,2015-10-01 00:00:00
91,Gigantografías,2011-07-01 00:00:00,2015-10-01 00:00:00
92,Animación en varios monitores,2011-08-01 00:00:00,2015-10-01 00:00:00
93,Curso Motion Capture,2011-09-01 00:00:00,2015-10-01 00:00:00
94,Diseño y armado de móviles,2012-01-01 00:00:00,2015-10-01 00:00:00
95,Comedia Musical,2012-01-01 00:00:00,2015-10-01 00:00:00
96,DIBUJO PARA VIDEOJUEGOS,2012-02-01 00:00:00,2015-10-01 00:00:00
97,ANIMACIÓN EN 3D,2012-03-01 00:00:00,2015-10-01 00:00:00
98,ANIMACIÓN DE PERSONAJES 3D,2012-04-01 00:00:00,2015-10-01 00:00:00
99,POTENCIA TU BLOG,2012-04-01 00:00:00,2015-10-01 00:00:00
100,Robótica,2012-05-01 00:00:00,2015-10-01 00:00:00
101,Animación Stop Motion,2012-05-01 00:00:00,2015-10-01 00:00:00
102,Libro de artista,2012-05-01 00:00:00,2015-10-01 00:00:00
103,Historia en dif perspetivas,2012-05-01 00:00:00,2015-10-01 00:00:00
104,Sculptrix,2012-05-01 00:00:00,2015-10-01 00:00:00
105,Fotografía,2012-06-01 00:00:00,2015-10-01 00:00:00
106,Retoque Digital,2012-06-01 00:00:00,2015-10-01 00:00:00
107,Taller Juegos Proyectados,2012-07-01 00:00:00,2015-10-01 00:00:00
108,Taller de Doblaje,2012-07-01 00:00:00,2015-10-01 00:00:00
109,MAPPING,2012-07-01 00:00:00,2012-08-01 00:00:00
110,Historieta,2012-07-01 00:00:00,2015-10-01 00:00:00
111,Video clip,2012-07-01 00:00:00,2015-10-01 00:00:00
112,Diseño Espacios 3D,2012-07-01 00:00:00,2015-10-01 00:00:00
113,Ilustración con realidad aumentada,2012-08-01 00:00:00,2015-10-01 00:00:00
114,Radioteatro,2012-08-01 00:00:00,2015-10-01 00:00:00
115,Cortos con cutout,2012-08-01 00:00:00,2015-10-01 00:00:00
